school_code,school_fullname,school_name,edu_code
7010057,서울특별시교육청 가락고등학교,가락고등학교,7010000
7010058,서울특별시교육청 개포고등학교,개포고등학교,7010000
7010059,서울특별시교육청 경기고등학교,경기고등학교,7010000
7010060,서울특별시교육청 경기여자고등학교,경기여자고등학교,7010000
7010061,서울특별시교육청 경동고등학교,경동고등학교,7010000
7010062,서울특별시교육청 경복고등학교,경복고등학교,7010000
7010063,서울특별시교육청 고척고등학교,고척고등학교,7010000
7010064,서울특별시교육청 공항고등학교,공항고등학교,7010000
7010065,서울특별시교육청 관악고등학교,관악고등학교,7010000
7010066,서울특별시교육청 광남고등학교,광남고등학교,7010000
7010067,서울특별시교육청 광양고등학교,광양고등학교,7010000
7010068,서울특별시교육청 구로고등학교,구로고등학교,7010000
7010069,서울특별시교육청 구일고등학교,구일고등학교,7010000
7010071,서울특별시교육청 금옥여자고등학교,금옥여자고등학교,7010000
7010072,서울특별시교육청 금천고등학교,금천고등학교,7010000
7010073,서울특별시교육청 당곡고등학교,당곡고등학교,7010000
7010074,서울특별시교육청 대영고등학교,대영고등학교,7010000
7010075,서울특별시교육청 동작고등학교,동작고등학교,7010000
7010076,서울특별시교육청 둔촌고등학교,둔촌고등학교,7010000
7010077,서울특별시교육청 면목고등학교,면목고등학교,7010000
7010078,서울특별시교육청 명일여자고등학교,명일여자고등학교,7010000
7010079,서울특별시교육청 무학여자고등학교,무학여자고등학교,7010000
7010080,서울특별시교육청 반포고등학교,반포고등학교,7010000
7010081,서울특별시교육청 삼성고등학교,삼성고등학교,7010000
7010082,서울특별시교육청 상계고등학교,상계고등학교,7010000
7010083,서울특별시교육청 서울고등학교,서울고등학교,7010000
7010084,서울특별시교육청 서울과학고등학교,서울과학고등학교,7010000
7010085,서울특별시교육청 서울여자고등학교,서울여자고등학교,7010000
7010086,서울특별시교육청 서울체육고등학교,서울체육고등학교,7010000
7010087,서울특별시교육청 서초고등학교,서초고등학교,7010000
7010088,서울특별시교육청 석관고등학교,석관고등학교,7010000
7010089,서울특별시교육청 성동고등학교,성동고등학교,7010000
7010090,서울특별시교육청 수도여자고등학교,수도여자고등학교,7010000
7010092,서울특별시교육청 신림고등학교,신림고등학교,7010000
7010093,서울특별시교육청 신목고등학교,신목고등학교,7010000
7010094,서울특별시교육청 양재고등학교,양재고등학교,7010000
7010095,서울특별시교육청 언남고등학교,언남고등학교,7010000
7010096,서울특별시교육청 여의도고등학교,여의도고등학교,7010000
7010097,서울특별시교육청 여의도여자고등학교,여의도여자고등학교,7010000
7010098,서울특별시교육청 영등포고등학교,영등포고등학교,7010000
7010099,서울특별시교육청 영등포여자고등학교,영등포여자고등학교,7010000
7010100,서울특별시교육청 영신고등학교,영신고등학교,7010000
7010101,서울특별시교육청 오금고등학교,오금고등학교,7010000
7010103,서울특별시교육청 용산고등학교,용산고등학교,7010000
7010104,서울특별시교육청 인헌고등학교,인헌고등학교,7010000
7010105,서울특별시교육청 자양고등학교,자양고등학교,7010000
7010106,서울특별시교육청 잠신고등학교,잠신고등학교,7010000
7010107,서울특별시교육청 잠실고등학교,잠실고등학교,7010000
7010108,서울특별시교육청 중경고등학교,중경고등학교,7010000
7010109,서울특별시교육청 중화고등학교,중화고등학교,7010000
7010110,서울특별시교육청 창덕여자고등학교,창덕여자고등학교,7010000
7010112,서울특별시교육청 청담고등학교,청담고등학교,7010000
7010113,서울특별시교육청 청량고등학교,청량고등학교,7010000
7010114,서울특별시교육청 태릉고등학교,태릉고등학교,7010000
7010115,서울특별시교육청 한성과학고등학교,한성과학고등학교,7010000
7010116,서울특별시교육청 혜화여자고등학교,혜화여자고등학교,7010000
7010117,서울특별시교육청 강동고등학교,강동고등학교,7010000
7010118,서울특별시교육청 강서고등학교,강서고등학교,7010000
7010119,서울특별시교육청 건국대학교사범대학부속고등학교,건국대학교사범대학부속고등학교,7010000
7010120,서울특별시교육청 경문고등학교,경문고등학교,7010000
7010122,서울특별시교육청 경복여자고등학교,경복여자고등학교,7010000
7010124,서울특별시교육청 경성고등학교,경성고등학교,7010000
7010125,서울특별시교육청 경신고등학교,경신고등학교,7010000
7010126,서울특별시교육청 경희고등학교,경희고등학교,7010000
7010127,서울특별시교육청 경희여자고등학교,경희여자고등학교,7010000
7010131,서울특별시교육청 광문고등학교,광문고등학교,7010000
7010132,서울특별시교육청 광성고등학교,광성고등학교,7010000
7010133,서울특별시교육청 광신고등학교,광신고등학교,7010000
7010134,서울특별시교육청 광영고등학교,광영고등학교,7010000
7010135,서울특별시교육청 광영여자고등학교,광영여자고등학교,7010000
7010136,서울특별시교육청 남강고등학교,남강고등학교,7010000
7010137,서울특별시교육청 단국대학교사범대학부속고등학교,단국대학교사범대학부속고등학교,7010000
7010138,서울특별시교육청 대광고등학교,대광고등학교,7010000
7010139,서울특별시교육청 대성고등학교,대성고등학교,7010000
7010140,서울특별시교육청 대신고등학교,대신고등학교,7010000
7010141,서울특별시교육청 대원고등학교,대원고등학교,7010000
7010142,서울특별시교육청 대원여자고등학교,대원여자고등학교,7010000
7010143,서울특별시교육청 대원외국어고등학교,대원외국어고등학교,7010000
7010144,서울특별시교육청 대일고등학교,대일고등학교,7010000
7010145,서울특별시교육청 대일외국어고등학교,대일외국어고등학교,7010000
7010146,서울특별시교육청 대진고등학교,대진고등학교,7010000
7010147,서울특별시교육청 대진여자고등학교,대진여자고등학교,7010000
7010148,서울특별시교육청 덕성여자고등학교,덕성여자고등학교,7010000
7010149,서울특별시교육청 덕원여자고등학교,덕원여자고등학교,7010000
7010150,서울특별시교육청 덕원예술고등학교,덕원예술고등학교,7010000
7010151,서울특별시교육청 동국대학교사범대학부속고등학교,동국대학교사범대학부속고등학교,7010000
7010152,서울특별시교육청 동덕여자고등학교,동덕여자고등학교,7010000
7010153,서울특별시교육청 동명여자고등학교,동명여자고등학교,7010000
7010154,서울특별시교육청 동북고등학교,동북고등학교,7010000
